year,sex,age,value
2002,1,0,2018522
2002,1,1,2044479
2002,1,2,1972924
2002,1,3,1944897
2002,1,4,1950720
2002,1,5,1960786
2002,1,6,2002026
2002,1,7,2039312
2002,1,8,2058954
2002,1,9,2111604
2002,1,10,2171164
2002,1,11,2199786
2002,1,12,2245442
2002,1,13,2156145
2002,1,14,2117462
2002,1,15,2101617
2002,1,16,2122639
2002,1,17,2141357
2002,1,18,2112882
2002,1,19,2149996
2002,1,20,2140289
2002,1,21,2130736
2002,1,22,2108849
2002,1,23,2004943
2002,1,24,1942703
2002,1,25,1916744
2002,1,26,1856790
2002,1,27,1914753
2002,1,28,1857165
2002,1,29,1897302
2002,1,30,2012465
2002,1,31,2112815
2002,1,32,2184931
2002,1,33,2058617
2002,1,34,2019285
2002,1,35,2025303
2002,1,36,2084490
2002,1,37,2229027
2002,1,38,2258080
2002,1,39,2250872
2002,1,40,2260679
2002,1,41,2284301
2002,1,42,2339185
2002,1,43,2235579
2002,1,44,2233678
2002,1,45,2200968
2002,1,46,2120188
2002,1,47,2140507
2002,1,48,2035358
2002,1,49,1969476
2002,1,50,1902885
2002,1,51,1857726
2002,1,52,1854284
2002,1,53,1782978
2002,1,54,1770221
2002,1,55,1847760
2002,1,56,1382872
2002,1,57,1374045
2002,1,58,1348687
2002,1,59,1387713
2002,1,60,1217335
2002,1,61,1131638
2002,1,62,1098596
2002,1,63,1045297
2002,1,64,1015731
2002,1,65,952282
2002,1,66,928349
2002,1,67,922458
2002,1,68,840036
2002,1,69,831542
2002,1,70,813765
2002,1,71,802655
2002,1,72,800131
2002,1,73,749112
2002,1,74,731547
2002,1,75,696076
2002,1,76,655316
2002,1,77,629601
2002,1,78,583772
2002,1,79,537004
2002,1,80,499953
2002,1,81,455626
2002,1,82,402497
2002,1,83,337181
2002,1,84,303734
2002,1,85,253264
2002,1,86,217280
2002,1,87,186321
2002,1,88,152186
2002,1,89,122646
2002,1,90,95216
2002,1,91,73542
2002,1,92,56073
2002,1,93,40100
2002,1,94,30152
2002,1,95,20721
2002,1,96,14519
2002,1,97,10057
2002,1,98,6600
2002,1,99,4490
2002,1,100,8195
2003,1,0,2033237
2003,1,1,2009420
2003,1,2,2043525
2003,1,3,1974987
2003,1,4,1951950
2003,1,5,1955885
2003,1,6,1960653
2003,1,7,2007360
2003,1,8,2044317
2003,1,9,2071389
2003,1,10,2155393
2003,1,11,2176445
2003,1,12,2218609
2003,1,13,2256394
2003,1,14,2163637
2003,1,15,2140303
2003,1,16,2126560
2003,1,17,2144766
2003,1,18,2169578
2003,1,19,2129392
2003,1,20,2146225
2003,1,21,2135808
2003,1,22,2117934
2003,1,23,2099624
2003,1,24,1998374
2003,1,25,1943865
2003,1,26,1901518
2003,1,27,1856904
2003,1,28,1912388
2003,1,29,1849806
2003,1,30,1918704
2003,1,31,1994472
2003,1,32,2124673
2003,1,33,2182673
2003,1,34,2057870
2003,1,35,2024193
2003,1,36,2020135
2003,1,37,2077426
2003,1,38,2225884
2003,1,39,2256420
2003,1,40,2243727
2003,1,41,2260614
2003,1,42,2279589
2003,1,43,2335874
2003,1,44,2223641
2003,1,45,2224414
2003,1,46,2200290
2003,1,47,2117276
2003,1,48,2131053
2003,1,49,2032378
2003,1,50,1957066
2003,1,51,1903885
2003,1,52,1846875
2003,1,53,1851585
2003,1,54,1778213
2003,1,55,1753341
2003,1,56,1844529
2003,1,57,1372827
2003,1,58,1365498
2003,1,59,1336406
2003,1,60,1368194
2003,1,61,1212101
2003,1,62,1119523
2003,1,63,1087611
2003,1,64,1029496
2003,1,65,1001903
2003,1,66,937277
2003,1,67,913146
2003,1,68,904419
2003,1,69,820345
2003,1,70,808170
2003,1,71,795334
2003,1,72,776914
2003,1,73,774554
2003,1,74,720651
2003,1,75,698219
2003,1,76,667787
2003,1,77,621701
2003,1,78,595667
2003,1,79,548486
2003,1,80,499405
2003,1,81,464268
2003,1,82,417522
2003,1,83,367149
2003,1,84,303077
2003,1,85,270033
2003,1,86,222820
2003,1,87,188539
2003,1,88,158328
2003,1,89,127559
2003,1,90,99382
2003,1,91,76476
2003,1,92,57665
2003,1,93,42364
2003,1,94,29627
2003,1,95,21626
2003,1,96,14884
2003,1,97,9975
2003,1,98,6694
2003,1,99,4448
2003,1,100,7781
2004,1,0,2052042
2004,1,1,2020169
2004,1,2,2008411
2004,1,3,2045933
2004,1,4,1983939
2004,1,5,1957840
2004,1,6,1954556
2004,1,7,1966777
2004,1,8,2012719
2004,1,9,2059114
2004,1,10,2125852
2004,1,11,2156867
2004,1,12,2196464
2004,1,13,2227712
2004,1,14,2261079
2004,1,15,2188103
2004,1,16,2165214
2004,1,17,2146158
2004,1,18,2172313
2004,1,19,2187971
2004,1,20,2132862
2004,1,21,2156023
2004,1,22,2137442
2004,1,23,2123444
2004,1,24,2105148
2004,1,25,2010965
2004,1,26,1933949
2004,1,27,1910787
2004,1,28,1862479
2004,1,29,1909795
2004,1,30,1884720
2004,1,31,1901095
2004,1,32,2017316
2004,1,33,2128284
2004,1,34,2186941
2004,1,35,2069933
2004,1,36,2023152
2004,1,37,2017065
2004,1,38,2080137
2004,1,39,2231042
2004,1,40,2252988
2004,1,41,2248606
2004,1,42,2258953
2004,1,43,2279113
2004,1,44,2323552
2004,1,45,2215272
2004,1,46,2227648
2004,1,47,2199700
2004,1,48,2107717
2004,1,49,2130419
2004,1,50,2018146
2004,1,51,1961738
2004,1,52,1891504
2004,1,53,1845760
2004,1,54,1847897
2004,1,55,1758586
2004,1,56,1753133
2004,1,57,1830349
2004,1,58,1364399
